Time,Arctic,Antarctica
1990M01,12.72,3.27
1990M02,13.33,2.15
1990M03,13.44,2.71
1990M04,12.16,5.1
1990M05,10.84,7.37
1990M06,9.12,10.26
1990M07,6.44,12.17
1990M08,4.92,13.95
1990M09,4.5,14.3
1990M10,6.67,13.71
1990M11,9.58,11.24
1990M12,11.4,6.56
1991M01,12.49,3.39
1991M02,13.15,2.01
1991M03,13.35,2.54
1991M04,12.79,5.1
1991M05,11.44,7.77
1991M06,9.6,9.87
1991M07,6.66,12.12
1991M08,5.14,13.96
1991M09,4.46,14.38
1991M10,7.7,13.7
1991M11,9.19,11.35
1991M12,11.19,6.48
1992M01,12.54,3.12
1992M02,13.51,1.79
1992M03,13.41,2.39
1992M04,12.76,4.91
1992M05,11.37,7.53
1992M06,9.89,9.9
1992M07,7.14,12.48
1992M08,5.35,14.08
1992M09,5.37,14.04
1992M10,7.69,13.76
1992M11,9.69,11.09
1992M12,11.66,6
1993M01,12.85,2.43
1993M02,13.54,1.3
1993M03,13.71,2.15
1993M04,12.95,4.82
1993M05,11.35,7.8
1993M06,9.2,10.28
1993M07,6.17,12.63
1993M08,4.65,13.83
1993M09,4.52,14.62
1993M10,6.98,14.09
1993M11,9.49,11.72
1993M12,11.41,6.49
1994M01,12.8,3.26
1994M02,13.46,2.17
1994M03,13.47,3.13
1994M04,12.84,5.38
1994M05,11.6,8.12
1994M06,9.62,10.63
1994M07,6.85,13.03
1994M08,5.1,14.39
1994M09,5.08,14.52
1994M10,7.17,13.98
1994M11,9.64,11.65
1994M12,11.43,6.95
1995M01,12.72,3.62
1995M02,13.3,2.12
1995M03,13.28,2.74
1995M04,12.32,5.35
1995M05,10.76,8.23
1995M06,8.86,10.37
1995M07,6.05,12.47
1995M08,4.61,14.16
1995M09,4.38,14.42
1995M10,5.91,13.47
1995M11,8.95,11.38
1995M12,11.02,7.03
1996M01,12.07,3.43
1996M02,12.9,1.69
1996M03,12.83,2.56
1996M04,12.23,5.28
1996M05,11.22,8.57
1996M06,9.78,11
1996M07,7.36,12.79
1996M08,5.65,13.8
1996M09,5.58,14.45
1996M10,7.49,13.85
1996M11,8.7,11.14
